leading_item_id,following_item_id,value
AANGBULD,DEWLVASR,710002
AANGBULD,FTSVTTSR,511952
AANGBULD,GKQIJYDH,7567629
AANGBULD,NAQIHUKZ,347206
AANGBULD,RJCAXSGH,4642155
AANGBULD,VUAFAIYJ,1022640
AANGBULD,ZCELVYQU,495464
AANGBULD,ZKENOUDA,708782
AHMDUILJ,UXSPKBJR,778360
ANWUJOKX,APQGTRMF,381106
ANWUJOKX,AXULOHBQ,363498
ANWUJOKX,BLANHGYY,359713
ANWUJOKX,BTMOEMEP,14174703
ANWUJOKX,HXYSSRXE,4835199
ANWUJOKX,IGDVVKUD,351000
ANWUJOKX,QVLMOEYE,1268021
ANWUJOKX,RAWUKQMJ,3921831
ANWUJOKX,VBYCLTYZ,834987
ANWUJOKX,WQMVCOEM,345921
APQGTRMF,ATLDMDBO,41900887
APQGTRMF,DNMPSKTB,4899718
APQGTRMF,DUCMGGNW,994392
APQGTRMF,GYHKIVQT,18981325
APQGTRMF,HXYSSRXE,4805731
APQGTRMF,KFQSHBNH,9926725
APQGTRMF,OKMBFVKS,2169627
APQGTRMF,QVLMOEYE,1268992
APQGTRMF,RCBZUSIM,354492
APQGTRMF,RJCAXSGH,4720250
APQGTRMF,UIFPPCLR,455670
APQGTRMF,WHPUAOID,366238
ATLDMDBO,ANWUJOKX,197062
ATLDMDBO,APQGTRMF,223385
ATLDMDBO,AXULOHBQ,235516
ATLDMDBO,BTMOEMEP,14086220
ATLDMDBO,DBWLZWNK,340407
ATLDMDBO,DNMPSKTB,4686206
ATLDMDBO,GYHKIVQT,18734391
ATLDMDBO,HXYSSRXE,4728597
ATLDMDBO,JPBRUTWP,5540091
ATLDMDBO,LPHPPJUG,1253861
ATLDMDBO,LRVGFDFM,2050457
ATLDMDBO,OGAFEHLU,198623
ATLDMDBO,OXKURKXR,316125
ATLDMDBO,QRKRBYJL,2304439
ATLDMDBO,QVLMOEYE,1103334
ATLDMDBO,RAWUKQMJ,3792203
ATLDMDBO,RCBZUSIM,260651
ATLDMDBO,SDWAYPIK,5695410
ATLDMDBO,UGEQLMXM,277532
ATLDMDBO,VBYCLTYZ,699665
ATLDMDBO,XUOIQPFL,2198867
ATLDMDBO,ZGJXVMNI,2349388
AXULOHBQ,BSRMSVTC,653067
AXULOHBQ,EVBVXETX,4944045
AXULOHBQ,FDXPMYGF,359348
AXULOHBQ,KEUWZRKO,625202
AXULOHBQ,LUENUFGA,3520171
AXULOHBQ,NZKBIBNU,597247
AXULOHBQ,OGAFEHLU,301918
AXULOHBQ,PYZMVUWD,306691
AXULOHBQ,SAHWCZNH,1881230
AXULOHBQ,VMAQSTJE,336807
AXULOHBQ,WPQXWHYO,11383763
AXULOHBQ,XIFHSOWQ,349550
BEZYMBBT,ELQGMQWE,1002524
BEZYMBBT,GYHKIVQT,18950266
BEZYMBBT,HXYSSRXE,4786703
BEZYMBBT,KFQSHBNH,9885195
BJALXPFS,DNMPSKTB,4942778
BJALXPFS,QRKRBYJL,2396383
BJALXPFS,SDWAYPIK,5816107
BLANHGYY,BSRMSVTC,644793
BLANHGYY,FDXPMYGF,354507
BLANHGYY,HCDTGMST,348385
BLANHGYY,KEUWZRKO,624832
BLANHGYY,OGAFEHLU,298870
BLANHGYY,SAHWCZNH,1885105
BLANHGYY,SUOYXCHP,333973
BLANHGYY,VMAQSTJE,331827
BLANHGYY,WPQXWHYO,11383828
BSRMSVTC,FITUEHWN,413783
BSRMSVTC,KEUWZRKO,658756
BSRMSVTC,LUENUFGA,3542619
